question,option1,option2,option3,option4,correctoption
Apakah Matahari merupakan bintang yang terletak di pusat tata surya kita?,Benar,Salah,,,Benar
Apa yang menjadi penyebab terjadinya musim di Bumi?,Rotasi Bumi,Revolusi Bumi,Perubahan warna Matahari,Kegiatan manusia,Revolusi Bumi
Planet manakah yang dikenal sebagai planet merah?,Venus,Jupiter ,Mars,Saturnus,Mars
Apakah galaksi tempat tata surya kita berada?,Andromeda,Sombrero,Bima Sakti,Orion,Bima Sakti
"Apa yang disebut dengan fenomena cincin yang mengelilingi beberapa planet, seperti Saturnus?",Sabuk asteroid,Cincin planet,Sabuk Kuiper,Sabuk asteroid,Cincin planet
Apakah Pluto masih dianggap sebagai planet dalam tata surya kita?,Ya,Tidak,,,Tidak
Apa yang menyebabkan gerhana bulan?,Bumi berada di antara Matahari dan Bulan,Bulan berada di antara Matahari dan Bumi,"Bumi, Bulan, dan Matahari berada dalam satu garis lurus",Gerhana bulan tidak memiliki penyebab yang jelas,Bumi berada di antara Matahari dan Bulan
Apa yang disebut sebagai bintang jatuh ketika partikel debu luar angkasa masuk ke atmosfer Bumi dan terbakar?,Asteroid,Komet,Meteoroid,Meteor,Meteor
Berapa jumlah planet di tata surya kita?,6,8,12,10,8
Berapa jumlah bulan yang mengelilingi Bumi secara alami?,2,3,4,1,1
Apa yang dimaksud dengan planet superior,Planet yang memiliki atmosfer tebal,Planet yang memiliki orbit lebih dekat ke Matahari dari Bumi,Planet yang memiliki orbit lebih jauh ke Matahari dari Bumi,Planet yang memiliki lebih banyak satelit alami,Planet yang memiliki orbit lebih jauh ke Matahari dari Bumi
Apa yang menyebabkan fenomena aurora di kutub Bumi?,Gelombang panas Matahari,Partikel-partikel dari luar angkasa yang berinteraksi dengan atmosfer Bumi,Perubahan suhu ekstrim,Aktivitas vulkanik,Partikel-partikel dari luar angkasa yang berinteraksi dengan atmosfer Bumi
"Bagaimana ciri khas dari planet gas raksasa, seperti Jupiter dan Saturnus?",Permukaan yang padat dan keras,Terdiri dari lapisan atmosfer yang kental,Keberadaan air dalam bentuk cair,Kehadiran gunung berapi aktif,Terdiri dari lapisan atmosfer yang kental
Apa yang dimaksud dengan sistem dual dalam konteks bintang biner?,Sistem yang terdiri dari dua planet yang berputar mengelilingi satu bintang,Sistem yang terdiri dari dua bintang yang saling terikat gravitasi,Sistem yang memiliki dua planet berbeda yang bertabrakan,Sistem yang memiliki dua atmosfer planet yang berbeda,Sistem yang terdiri dari dua bintang yang saling terikat gravitasi
"Fenomena apa yang terjadi ketika Matahari, Bumi, dan Bulan berada dalam satu garis lurus sehingga menyebabkan naiknya permukaan air laut yang ekstrem?",Gerhana Matahari,Gerhana Bulan,Pasang surut,Tsunami,Pasang surut
Siapakah ilmuwan yang merumuskan hukum gravitasi?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,Isaac Newton
Apa yang menjadi planet terdekat dengan Matahari dalam tata surya kita?,Mars,Bumi,Venus,Merkurius,Merkurius
Apa yang dimaksud dengan revolusi dalam konteks astronomi?,Rotasi planet pada sumbunya sendiri,Pergerakan planet mengelilingi Matahari,Gerakan Bulan mengelilingi Bumi,Perubahan warna bintang di langit,Pergerakan planet mengelilingi Matahari
Apa yang disebut dengan sistem tata surya?,Sekumpulan asteroid yang mengorbit Matahari,Tata letak planet-planet dalam tata surya,Daerah di tata surya yang dipengaruhi oleh medan magnet Matahari,Sekumpulan bintang yang berada dalam galaksi kita,Tata letak planet-planet dalam tata surya
Siapakah orang pertama yang menginjakkan kaki di Bulan?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,Neil Armstrong
